lat,lon,name
51.27720, 06.70163, Station #0
51.27351, 06.70037, Station #1
51.26988, 06.70078, Station #2
51.26532, 06.70355, Station #3
51.26235, 06.70734, Station #4
51.25965, 06.71313, Station #5
51.25711, 06.71907, Station #6
51.25475, 06.72683, Station #7
51.25323, 06.73313, Station #8
51.25188, 06.73981, Station #9
51.25050, 06.74520, Station #10
51.24869, 06.75055, Station #11
51.24654, 06.75545, Station #12
51.24365, 06.76015, Station #13
51.24034, 06.76337, Station #14
51.23688, 06.76536, Station #15
51.23375, 06.76601, Station #16
51.27648, 06.70598, Station #17
51.27369, 06.70480, Station #18
51.27123, 06.70489, Station #19
51.26726, 06.70757, Station #20
51.26387, 06.71174, Station #21
51.26146, 06.71688, Station #22
51.25988, 06.72197, Station #23
51.25804, 06.72913, Station #24
51.25632, 06.73558, Station #25
51.25499, 06.74127, Station #26
51.25329, 06.74746, Station #27
51.25170, 06.75325, Station #28
51.24811, 06.75954, Station #29
51.24472, 06.76430, Station #30
51.24133, 06.76731, Station #31
51.23755, 06.76962, Station #32
51.23399, 06.77066, Station #33
51.344433, 06.685255, DEPOT

