lat,lon,name
51.27720, 06.70163, Station #0
51.27351, 06.70037, Station #1
51.26988, 06.70078, Station #2
51.26532, 06.70355, Station #3
51.26235, 06.70734, Station #4
51.25965, 06.71313, Station #5
51.25711, 06.71907, Station #6
51.25475, 06.72683, Station #7
51.25323, 06.73313, Station #8
51.25188, 06.73981, Station #9
51.25050, 06.74520, Station #10
51.24869, 06.75055, Station #11
51.24654, 06.75545, Station #12
51.24365, 06.76015, Station #13
51.24034, 06.76337, Station #14
51.23688, 06.76536, Station #15
51.23375, 06.76601, Station #16
